LUGAR,MUNICIPIO,CALLE,NÚMERO,NÚMERO INTERIOR,HORARIO,TIPO,ENTIDAD DE GOBIERNO,LATITUD,LONGITUD,INFORMACION COMPLEMENTARIA,FECHA ACTUALIZACIÓN
"Carr. a Chapala #655, Col. Ãlamo Industrial, Guadalajara",Guadalajara,Carr. a Chapala,655,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6291541,-103.3348282," Guadalajara Carr. a Chapala 655 Álamo Industrial (33) 3635-5206 (33) 3635-5206 Lunes a Viernes de 09:00 a 15:00 hrs 20.6291541-103.3348282 ",2013-04-23T20:55:40Z
"Prol. Lázaro Cárdenas #2957, Col. colonia, Guadalajara",Guadalajara,Prol. Lázaro Cárdenas,2957,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6528718,-103.3719428," Guadalajara Prol. Lázaro Cárdenas 2957 colonia (33) 3657-5796 (33) 3657-5796 Lunes a Viernes de 09:00 a 15:00 hrs 20.6528718-103.3719428 ",2013-04-23T20:55:40Z
Presidencias Municipales y Coordinaciones Regionales,,Presidencias Municipales y Coordinaciones Regionales,,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.1540195,-103.914399," Presidencias Municipales y Coordinaciones Regionales Lunes a Viernes de 09:00 a 15:00 hrs 20.1540195-103.914399 ",2013-04-23T20:55:40Z
Secretarí­a de Desarrollo Rural,Guadalajara,Hidalgo,1435,,Lunes a Viernes de 08:00 a 16:00 hrs,Oficina de Gobierno,"Secretaría de Desarrollo Rural,Fideicomiso de la alianza para el Campo en el Estado de Jalisco (FACEJ),Organismos,Fideicomiso para el Fondo de Garantía Agropecuaria- FIFOJAL,Organismos",20.6768004,-103.36812709999998," Guadalajara Hidalgo 1435 Americana 44100 01(33) 30-30-06-00 Ext. 56600 y 56601 01(33) 30-30-06-98 Lunes a Viernes de 08:00 a 16:00 hrs Ing. Héctor Padilla Gutiérrez gestionseder@jalisco.gob.mx 20.6768004-103.36812709999998 Secretaría de Desarrollo Rural Fideicomiso de la alianza para el Campo en el Estado de Jalisco (FACEJ) Fideicomiso para el Fondo de Garantía Agropecuaria- FIFOJAL ",2013-09-19T16:30:17Z
Ventanillas Municipales,,H. Ayuntamientos Municipal en el Interior del Estado de Jalisco,,,Lunes a Viernes de 09:00 a 15:00 hrs,,,21.196175,-102.09283800000003," H. Ayuntamientos Municipal en el Interior del Estado de Jalisco Lunes a Viernes de 09:00 a 15:00 hrs 21.196175-102.09283800000003 ",2013-04-23T20:55:40Z
Tlaquepaque,Tlaquepaque,Avenida Rosales esquina Avenida Revolucion,341,,Lunes a Viernes 09:00 a 14:00 hrs.,,,20.641030,-103.301323," Tlaquepaque Avenida Rosales esquina Avenida Revolucion 341 36353611 Lunes a Viernes 09:00 a 14:00 hrs. 20.641030-103.301323 ",2015-05-12T17:12:15Z
"Independencia #100, Guadalajara",Guadalajara,Independencia,100,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.7252877,-103.3153312," Guadalajara Independencia 100 Lunes a Viernes de 09:00 a 15:00 hrs 20.7252877-103.3153312 ",2013-04-23T20:55:40Z
"Av. de la Paz #875, Col. Centro, Guadalajara",Guadalajara,Av. de la Paz,875,,Lunes a Viernes de 09:00 a 15:00 hrs,,"Centro Estatal de Estudios Municipales (-),Organismos",20.6686931,-103.34935439999998," Guadalajara Av. de la Paz 875 Centro (33) 3942-1200 (33) 3942-1200 Lunes a Viernes de 09:00 a 15:00 hrs 20.6686931-103.34935439999998 Centro Estatal de Estudios Municipales (-) ",2013-08-22T14:25:21Z
"Periferico poniente, Col. San Juán de Ocotán, Guadalajara",Guadalajara,Periferico poniente,,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6871311,-103.45522310000001," Guadalajara Periferico poniente San Juán de Ocotán Lunes a Viernes de 09:00 a 15:00 hrs 20.6871311-103.45522310000001 ",2013-04-23T20:55:40Z
Consejo Estatal para el Fomento Deportivo- CODE,Guadalajara,Prolongación Avenida Alcalde,1360,,Lunes a Viernes de 09:00 a 15:00 hrs,,"Consejo Estatal para el Fomento Deportivo- CODE,Organismos",20.699309,-103.346867," Guadalajara Prolongación Avenida Alcalde 1360 Mira Flores 44270 3030-9111 Lunes a Viernes de 09:00 a 15:00 hrs 20.699309-103.346867 Consejo Estatal para el Fomento Deportivo- CODE ",2014-08-14T16:28:03Z
"Magisterio #1499, Col. Miraflores, Guadalajara",Guadalajara,Magisterio,1499,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6998118,-103.34905229999998," Guadalajara Magisterio 1499 Miraflores (33) 3819-2374 (33) 3819-2374 Lunes a Viernes de 09:00 a 15:00 hrs 20.6998118-103.34905229999998 ",2013-04-23T20:55:41Z
Secretarí­a de Educacion,Guadalajara,Avenida Alcalde,1351,Edificio C,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6941483,-103.34841210000002," Guadalajara Avenida Alcalde 1351 Edificio C Miraflores (33) 3819- 2713 (33) 3819- 2713 Lunes a Viernes de 09:00 a 15:00 hrs 20.6941483-103.34841210000002 ",2013-04-23T20:55:41Z
"Hidalgo #47, Col. Centro, Guadalajara",Guadalajara,Hidalgo,47,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6774363,-103.34277910000003," Guadalajara Hidalgo 47 Centro 36-14-84-41 36-14-84-41 Lunes a Viernes de 09:00 a 15:00 hrs 20.6774363-103.34277910000003 ",2013-04-23T20:55:41Z
Consejo Estatal de Seguridad Pública del Estado de Jalisco,Guadalajara,Avenida Union,292,,9:00 a 15:00 horas Lunes a Viernes,,,20.6711382,-103.37353630000001," Guadalajara Avenida Union 292 36301548 / 36302276 / 36168093 / 36304131 / 36303346 9:00 a 15:00 horas Lunes a Viernes 20.6711382-103.37353630000001 ",2013-04-23T20:55:41Z
"SEMADET | Delegación 01, Norte",Colotlán,"Km. 1 carretera Colotlán-Guadalajara\, Edificio UNIRSE ",Km. 1,Oficinas UNIRSE 01,Lunes a Viernes de 09:00 a 17:00 hrs.,Oficina de Gobierno,Secretaría de Medio Ambiente y Desarrollo Territorial,20.0996778,-103.2688417," Colotlán Km. 1 carretera Colotlán-Guadalajara, Edificio UNIRSE Km. 1 Oficinas UNIRSE 01 46200 (33) 3030-8250, Exts. 51914/15/16 y 17 (33) 3030-8250, Ext. 51917 Lunes a Viernes de 09:00 a 17:00 hrs. Lic. Carlos Ignacio Acuña Hernández carlos.acuna@jalisco.gob.mx 20.0996778-103.2688417 Secretaría de Medio Ambiente y Desarrollo Territorial ",2014-02-21T00:10:59Z
"Lerdo de Tejada #2640, Col. Arcos Vallarta, Guadalajara",Guadalajara,"Lerdo de Tejada ",2640,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6704532,-103.38371610000002," Guadalajara Lerdo de Tejada 2640 Arcos Vallarta (0133) 36305636 Ext.10014 (0133) 36305636 Ext.10014 Lunes a Viernes de 09:00 a 15:00 hrs 20.6704532-103.38371610000002 ",2013-04-23T20:55:41Z
"Lerdo de Tejada #45, Col. Centro, Guadalajara",Guadalajara,Lerdo de Tejada,45,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6332514,-103.3048738," Guadalajara Lerdo de Tejada 45 Centro (33) 1368-3949 (33) 1368-3949 Lunes a Viernes de 09:00 a 15:00 hrs 20.6332514-103.3048738 ",2013-04-23T20:55:41Z
"Francia #1226, Col. Moderna, Guadalajara",Guadalajara,Francia,1226,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6618217,-103.35637710000003," Guadalajara Francia 1226 Moderna (33) 3030-9200 Ext.124 (33) 3030-9200 Ext.124 Lunes a Viernes de 09:00 a 15:00 hrs 20.6618217-103.35637710000003 ",2013-04-23T20:55:41Z
"Luis J. Jiménez #577, Col. 1Â° de Mayo, Guadalajara",Guadalajara,"Luis J. Jiménez ",577,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6180246,-103.3544832," Guadalajara Luis J. Jiménez 577 1° de Mayo (33) 30300912 (33) 30300912 Lunes a Viernes de 09:00 a 15:00 hrs 20.6180246-103.3544832 ",2013-04-23T20:55:41Z
"Francia #1726, Col. Moderna, Guadalajara",Guadalajara,Francia,1726,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6646796,-103.36360509999997," Guadalajara Francia 1726 Moderna (33) 3030 9200 (33) 3030 9200 Lunes a Viernes de 09:00 a 15:00 hrs 20.6646796-103.36360509999997 ",2013-04-23T20:55:41Z
Conocido (consultar directorio de sedes),,Conocido (consultar directorio de sedes),,,Lunes a Viernes de 09:00 a 15:00 hrs,Oficina de Gobierno,,20.1540195,-103.914399," Conocido (consultar directorio de sedes) Lunes a Viernes de 09:00 a 15:00 hrs 20.1540195-103.914399 ",2013-07-03T18:17:00Z
Ayuntamiento de Puerto Vallarta,Puerto Vallarta,Independencia,123,,de Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6529012,-105.22075840000002," Puerto Vallarta Independencia 123 48300 (322) 223- 2500 (322) 223- 2500 de Lunes a Viernes de 09:00 a 15:00 hrs 20.6529012-105.22075840000002 ",2013-04-23T20:55:41Z
Cuautitlán de García Barragán,,Cuautitlan de Garcia Barragan,,,Lunes a Viernes de 09:00 a 15:00 hrs,Oficina de Gobierno,,20.6674004,-103.39581340000001," Cuautitlan de Garcia Barragan Lunes a Viernes de 09:00 a 15:00 hrs 20.6674004-103.39581340000001 ",2013-07-03T17:54:31Z
"Independencia #58, Tlaquepaque",Tlaquepaque,Independencia,58,,de Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6222089,-103.27116380000001," Tlaquepaque Independencia 58 45500 (33) 3635-1220 (33) 3837-4400 de Lunes a Viernes de 09:00 a 15:00 hrs 20.6222089-103.27116380000001 ",2013-04-23T20:55:41Z
En la escuela de adscripción,,Busca el domicilio de las escuelas oficiales en: http://dgaire.jalisco.gob.mx/scejal/,,,En horario de la escuela.,,,20.1540195,-103.914399," Busca el domicilio de las escuelas oficiales en: http://dgaire.jalisco.gob.mx/scejal/ En horario de la escuela. 20.1540195-103.914399 ",2013-10-22T17:02:09Z
"Hidalgo #21, Tonalá",Tonalá,Hidalgo,21,,de Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6610568,-103.22644009999999," Tonalá Hidalgo 21 (33) 3683-0047 (33) 3683-0047 de Lunes a Viernes de 09:00 a 15:00 hrs 20.6610568-103.22644009999999 ",2013-04-23T20:55:41Z
"Av. Avila Camacho #1015, Col. Miraflores, Guadalajara",Guadalajara,"Av. Avila Camacho ",1015,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.7053291,-103.3644109," Guadalajara Av. Avila Camacho 1015 Miraflores 44270 (33) 3819-5953 Ext.56020 (33) 3819-5953 Ext.56020 Lunes a Viernes de 09:00 a 15:00 hrs 20.7053291-103.3644109 ",2013-04-23T20:55:41Z
"Donato Guerra #280, Col. Centro, Guadalajara",Guadalajara,"Donato Guerra ",280,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6725104,-103.35071019999998," Guadalajara Donato Guerra 280 Centro (33) 3614-6502 (33) 3614-6502 Lunes a Viernes de 09:00 a 15:00 hrs 20.6725104-103.35071019999998 ",2013-04-23T20:55:41Z
Dirección General de Abastecimientos,Guadalajara,Avenida Alcalde,1221,,Lunes a Viernes de 09:00 a 15:00 hrs.,,,20.7110531,-103.34639449999997," Guadalajara Avenida Alcalde 1221 44270 (33) 3818-2818 (33) 3818-2831 Lunes a Viernes de 09:00 a 15:00 hrs. 20.7110531-103.34639449999997 ",2013-04-23T20:55:41Z
Planteles IDEFT,,Planteles IDEFT,,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.1540195,-103.914399," Planteles IDEFT Lunes a Viernes de 09:00 a 15:00 hrs 20.1540195-103.914399 ",2013-04-23T20:55:41Z
Secretaría de Movilidad,Guadalajara,Prolongación Alcalde Esq. Circunvalación,1351,,Lunes a Viernes de 09:00 - 14:00 hrs,Oficina de Gobierno,Secretaría de Movilidad,20.705867,-103.346149," Guadalajara Prolongación Alcalde Esq. Circunvalación 1351 Jardines Alcalde 44290 (33) 3819-2400 Lunes a Viernes de 09:00- 14:00 hrs 20.705867-103.346149 Secretaría de Movilidad ",2015-02-25T20:15:11Z
"Hidalgo #2354, Col. Vallarta Norte, Guadalajara",Guadalajara,Hidalgo,2354,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6767903,-103.38827839999999," Guadalajara Hidalgo 2354 Vallarta Norte (33) 3615-0644 (33) 3615-0644 Lunes a Viernes de 09:00 a 15:00 hrs 20.6767903-103.38827839999999 ",2013-04-23T20:55:41Z
"Vallarta #6503, Zapopan",Zapopan,Vallarta,6503,Local G13 Concentro,de Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6933276,-103.45272090000003," Zapopan Vallarta 6503 Local G13 Concentro (33) 3110-0754 al 59 (33) 3110-0754 al 59 de Lunes a Viernes de 09:00 a 15:00 hrs 20.6933276-103.45272090000003 ",2013-04-23T20:55:41Z
"Prol. Alcalde #1351, Col. Miraflores, Guadalajara",Guadalajara,Avenida Alcalde,1351,C,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6941483,-103.34841210000002," Guadalajara Avenida Alcalde 1351 C Miraflores (33) 3819-2752 Ext. 22777 (33) 3819-2752 Ext. 22777 Lunes a Viernes de 09:00 a 15:00 hrs 20.6941483-103.34841210000002 ",2013-04-23T20:55:41Z
Oficina Recaudadora Metropolitana #004,Guadalajara,Avenida Alcalde,1351,A,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.698395891014506,-103.3487319946289," Guadalajara Avenida Alcalde 1351 A (33) 38192737, 38192738 Lunes a viernes de 08:30 a 15:30 hrs. Encargado. Lic. Jaime Salgado González recmet04@jalisco.gob.mx 20.698395891014506-103.3487319946289 Subsecretaría de Finanzas ",2015-01-16T17:01:00Z
"Camino Arenero #1101, Col. El Bajío, Guadalajara",Guadalajara,Camino Arenero,1101,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6669524,-103.33019509999997," Guadalajara Camino Arenero 1101 El Bajío (33) 36821182 Ext.11 (33) 36821182 Ext.11 Lunes a Viernes de 09:00 a 15:00 hrs 20.6669524-103.33019509999997 ",2013-04-23T20:55:41Z
Oficina Recaudadora Metropolitana #003,Guadalajara,Avenida Circunvalación Oblatos,,esq. Av. Artesanos (Unidad Administrativa),Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.689526,-103.294804," Guadalajara Avenida Circunvalación Oblatos esq. Av. Artesanos (Unidad Administrativa) (33) 36442402, 36442413 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Sandra Selene Fernández Franco recmet03@jalisco.gob.mx 20.689526-103.294804 Subsecretaría de Finanzas ",2015-01-09T17:13:28Z
Oficina Recaudadora Metropolitana #002,Guadalajara,5 de febrero,123,esq. R. Michel,Lunes a viernes de 08:30 a 15:30 hrs.,,"Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.661769,-103.343444," Guadalajara 5 de febrero 123 esq. R. Michel (33) 36192429, 36192148 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Raúl Morales Pérez recmet02@jalisco.gob.mx 20.661769-103.343444 Subsecretaría de Finanzas ",2015-01-09T17:09:52Z
Oficina Recaudadora Metropolitana #001,Guadalajara,"Avenida del Mercado ",214,206 G Plaza Comercial Abastos,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.654242,-103.379867," Guadalajara Avenida del Mercado 214 206 G Plaza Comercial Abastos (33) 36710087, 36711302 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Ma. Guadalupe Juárez Zepeda recmet01@jalisco.gob.mx 20.654242-103.379867 Subsecretaría de Finanzas ",2015-01-09T17:11:04Z
C.D.F. Tomatlí n,Tomatlán,Col. Pino Suúrez (Carretera Tomatlán-Puerto Vallarta),S/N,,7:00 A 15:000,,,19.941353,-105.24953900000003," Tomatlán Col. Pino Suúrez (Carretera Tomatlán-Puerto Vallarta) S/N 7:00 A 15:000 19.941353-105.24953900000003 ",2013-04-23T20:55:43Z
C.D.F. Clavellinas,Tuxpan,Rancho San Mames,S/N,,7:00 A 15:00,,,19.5549937,-103.37567810000002," Tuxpan Rancho San Mames S/N 7:00 A 15:00 19.5549937-103.37567810000002 ",2013-04-23T20:55:43Z
Oficina Recaudadora Metropolitana #125,Guadalajara,"Avenida Alcalde ",1855,esq. Chihuahua,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.703085294542944,-103.34752231836319," Guadalajara Avenida Alcalde 1855 esq. Chihuahua (33) 36681700 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Natalia Barajas Gutiérrez recmet125@jalisco.gob.mx 20.703085294542944-103.34752231836319 Subsecretaría de Finanzas ",2015-05-20T21:25:31Z
"Miguel Blanco #883, Col. Centro, Guadalajara",Guadalajara,Miguel Blanco,883,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.6719497,-103.34786109999999," Guadalajara Miguel Blanco 883 Centro 3658-3272 3658-3272 Lunes a Viernes de 09:00 a 15:00 hrs 20.6719497-103.34786109999999 ",2013-04-23T20:55:41Z
Oficina Recaudadora Metropolitana #114,Zapopan,Ramón Corona,356,,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.723971,-103.394426," Zapopan Ramón Corona 356 (33) 3633-2148/3633-8147 Lunes a viernes de 08:30 a 15:30 hrs. Ing. Jorge Antonio Félix Padilla recmet114@jalisco.gob.mx 20.723971-103.394426 Subsecretaría de Finanzas ",2015-05-26T20:21:51Z
"Francisco Mora #76, Arandas",Arandas,Francisco Mora,76,,de Lunes a Viernes de 09:00 a 15:00 hrs,,,20.7624477,-103.43717950000001," Arandas Francisco Mora 76 47180 (348) 783-0828 (348) 783-0828 de Lunes a Viernes de 09:00 a 15:00 hrs 20.7624477-103.43717950000001 ",2013-04-23T20:55:41Z
Oficina Recaudadora Metropolitana #097,Tonalá,Miguel Alemán,226,,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.628296005735272,-103.2459819316864," Tonalá Miguel Alemán 226 (33) 36831183, 36833353, 36831183 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Ignacio Salmerón Fernández recmet97@jalisco.gob.mx 20.628296005735272-103.2459819316864 Subsecretaría de Finanzas ",2015-05-15T17:40:04Z
"Circ. Jorge ílvarez del Castillo #1035, Col. Country Club, Guadalajara",Guadalajara,Circ. Jorge ílvarez del Castillo,1035,,Lunes a Viernes de 09:00 a 15:00 hrs,,,,," Guadalajara Circ. Jorge ílvarez del Castillo 1035 Country Club (33) 36485515 (33) 36485515 Lunes a Viernes de 09:00 a 15:00 hrs ",2013-04-23T20:55:41Z
Oficina Recaudadora Metropolitana #094,Tlaquepaque,Marcelino García Barragan,1935,,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.641499,-103.316717," Tlaquepaque Marcelino García Barragan 1935 (33) 36356295, 36578291 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Lydia Ramírez García recmet94@jalisco.gob.mx 20.641499-103.316717 Subsecretaría de Finanzas ",2015-01-09T17:17:34Z
Secretaria de Desarrollo Urbano,Guadalajara,Avenida Alcalde,1351,Edif. B 4o. Piso,Lunes a Viernes de 09:00 a 17:00 hrs,,,20.6941483,-103.34841210000002," Guadalajara Avenida Alcalde 1351 Edif. B 4o. Piso Miraflores 44270 (33) 3819-2303 Ext.47519 (33) 3819-2303 Ext.47519 Lunes a Viernes de 09:00 a 17:00 hrs 20.6941483-103.34841210000002 ",2013-04-23T20:55:41Z
Oficina Recaudadora Metropolitana #000,Guadalajara,Pedro Moreno,299,esq. Corona,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.675699537955904,-103.346654599428177," Guadalajara Pedro Moreno 299 esq. Corona (33) 36681788 y 36681790 Lunes a viernes de 08:30 a 15:30 hrs. Ing. Guillermo de la Mora Franco recmet00@jalisco.gob.mx 20.675699537955904-103.346654599428177 Subsecretaría de Finanzas ",2015-01-09T17:16:43Z
Secretaria de Educacion,Guadalajara,Avenida Alcalde,"1351 ",Edif. C,Lunes a Viernes de 09:00 a 15:00 hrs,"Oficina central de educación,Oficina de Gobierno",Secretaría de Educación,20.696953161452356,-103.34830284118652," Guadalajara Avenida Alcalde 1351 Edif. C Miraflores (33) 3819-2713 (33) 3819-2713 Lunes a Viernes de 09:00 a 15:00 hrs 20.696953161452356-103.34830284118652 Secretaría de Educación ",2013-09-25T16:49:35Z
Oficina Recaudadora Metropolitana #005,Guadalajara,Felix Palavicini,,esq. Av. Circunvalación,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.704648396820943,-103.34558308124542," Guadalajara Felix Palavicini esq. Av. Circunvalación (33) 38192434 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Hugo Francisco Robles Ramos recmet05@jalisco.gob.mx 20.704648396820943-103.34558308124542 Subsecretaría de Finanzas ",2015-01-09T17:15:58Z
"Avenida Central #615, Col. Residencial Poniente, Zapopan",Zapopan,Avenida Central,615,,Lunes a Viernes de 09:00 a 15:00 hrs,,,20.7288825,-103.43093590000001," Zapopan Avenida Central 615 Residencial Poniente 3678-75-00 3678-75-00 Lunes a Viernes de 09:00 a 15:00 hrs 20.7288825-103.43093590000001 ",2013-04-23T20:55:41Z
Coordinación de dictaminación,Guadalajara,Av. Fray Antonio Alcalde,1855,,8:00 a 16:00 horas,,,20.7014199,-103.34744660000001," Guadalajara Av. Fray Antonio Alcalde 1855 44260 38-19-24-90 y (91) 8:00 a 16:00 horas 20.7014199-103.34744660000001 ",2013-04-23T20:55:43Z
Oficinas Recaudadoras Foraneas,,Oficina Recaudadora de su localidad,,,Lunes a viernes de 08:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.6757,-103.346546," Oficina Recaudadora de su localidad Lunes a viernes de 08:30 a 14:30 hrs. 20.6757-103.346546 Subsecretaría de Finanzas ",2013-06-20T21:16:30Z
Dirección General de Asuntos Agrarios,Guadalajara,Av. Prolongación Alcalde,1855,piso 8,08:00 a 15:00 horas,,,20.7014199,-103.34744660000001," Guadalajara Av. Prolongación Alcalde 1855 piso 8 38-19-24-90 08:00 a 15:00 horas 20.7014199-103.34744660000001 ",2013-09-23T20:49:48Z
Oficina Recaudadora Metropolitana #135,Zapopan,Avenida Juan Gil Preciado,6735,,Lunes a viernes de 08:30 a 15:30 hrs.,,"Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.77595687026082,-103.45541954040527," Zapopan Avenida Juan Gil Preciado 6735 (33) 36249257, 36249205 Lunes a viernes de 08:30 a 15:30 hrs. Enc. Lic. Blanca Esthela Valencia Casillas recmet135@jalisco.gob.mx 20.77595687026082-103.45541954040527 Subsecretaría de Finanzas ",2015-01-09T17:22:13Z
Oficina Recaudadora Metropolitana #133,Zapopan,Avenida López Mateos Sur,5150,,Lunes a viernes de 08:30 a 15:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.6311816,-103.41690729999999," Zapopan Avenida López Mateos Sur 5150 (33) 36315649, 36343362 Lunes a viernes de 08:30 a 15:30 hrs. Lic. Aldo A. Hernández Gutiérrez recmet133@jalisco.gob.mx 20.6311816-103.41690729999999 Subsecretaría de Finanzas ",2015-01-16T15:34:08Z
Oficina Recaudadora Metropolitana #126,Guadalajara,Avenida Vallarta,3322,1 F Galeria Exhimoda,Lunes a viernes de 08:30 a 15:30 hrs.,,"Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.674311801176657,-103.39548021554947," Guadalajara Avenida Vallarta 3322 1 F Galeria Exhimoda (33) 31220832, 31220047 Lunes a viernes de 08:30 a 15:30 hrs. C. Jose Luis López Gódinez recmet126@jalisco.gob.mx 20.674311801176657-103.39548021554947 Subsecretaría de Finanzas ",2015-05-27T18:07:24Z
Instituto Jalisciense de las Mujeres- (IJM),Guadalajara,Miguel Blanco,883,,9:00 a 17:00 horas,,"Instituto Jalisciense de las Mujeres- (IJM),Organismos",20.6718841,-103.3477401," Guadalajara Miguel Blanco 883 Zona Centro 44100 (01 33) 3658-3166 y 3658-3170 Ext. 50616 9:00 a 17:00 horas Lic. Mariana Fernández Ramírez mujer@jalisco.gob.mx 20.6718841-103.3477401 Instituto Jalisciense de las Mujeres- (IJM) ",2014-03-24T19:05:24Z
Archivo de Instrumentos Públicos del Estado,Guadalajara,Av. Alcalde,1855,piso 3,9:00 a 12:00 hrs. para solicitar y de 12:00 a 14:00 hrs. para entrega de documento,,,20.7110531,-103.34639449999997," Guadalajara Av. Alcalde 1855 piso 3 44260 38192466 Ã³ 38192467 9:00 a 12:00 hrs. para solicitar y de 12:00 a 14:00 hrs. para entrega de documento 20.7110531-103.34639449999997 ",2013-07-12T21:33:17Z
Dirección General del Registro Civil,Guadalajara,"Av. Prolongación Alcalde ",1855,Planta baja,8:00 a 15:00 hrs. de Lunes a Viernes,,Secretaría General de Gobierno,20.701629,-103.3478242," Guadalajara Av. Prolongación Alcalde 1855 Planta baja Miraflores 44270 01(33) 3819 2456 / 3819-2458 8:00 a 15:00 hrs. de Lunes a Viernes 20.701629-103.3478242 Secretaría General de Gobierno ",2014-08-25T14:55:52Z
" Trompo Mágico Museo Interactivo ",Zapopan,Avenida Central,750,,"Martes a Viernes\, de 9:00 a 18:00 hrs. Sábados\, domingos\, días festivos y vacaciones (excepto las de verano)\, de 11 a 19 hrs.",,"Trompo Mágico- Museo Interactivo,Organismos",20.723184,-103.430466," Zapopan Avenida Central 750 45136 3030 0001,02, 03, 05, 10 Martes a Viernes, de 9:00 a 18:00 hrs. Sábados, domingos, días festivos y vacaciones (excepto las de verano), de 11 a 19 hrs. 20.723184-103.430466 Trompo Mágico- Museo Interactivo ",2015-04-17T15:51:38Z
Dirección Archivo Histórico de Jalisco,Guadalajara,Av. Prolongación Alcalde,1855,4 piso,9:00 a 15:00 hrs.,Oficina de Gobierno,Secretaría General de Gobierno,20.701868,-103.347757," Guadalajara Av. Prolongación Alcalde 1855 4 piso Miraflores 44260 (01 33) 3819-2469 9:00 a 15:00 hrs. 20.701868-103.347757 Secretaría General de Gobierno ",2014-08-25T14:55:21Z
Dirección de Certificaciones,Guadalajara,Av. Prolongación Alcalde,1855,,9:00 a 15:00 hrs.,,,20.7014199,-103.34744660000001," Guadalajara Av. Prolongación Alcalde 1855 44260 38-19-24-70 9:00 a 15:00 hrs. 20.7014199-103.34744660000001 ",2013-04-23T20:55:43Z
